id,pred_capped,pred_uncapped,goal_ss_num,goal_ss_char,SCORE,score_rank_z,studsig,NoPretest,anyimpute,capped_z_y17,c1,c2,c3,credit_t,credit_b,credit,asmt
0015,0.253347103,0.2678286,82,82,79,0.201893479,0.610426422,0,0,0.412463129,-2.188358585,1.474199947,1.779413158,,0.811024409,0.811024409,RG
0016,-0.706302563,-0.712500436,62,62,28,-1.40507156,0.680779175,0,0,-0.582841507,-3.429419261,0.655255786,0.995645374,,0.460247624,0.460247624,RG
0017,-0.841621234,-0.840867495,59,59,72,-0.279319034,0.634643310,0,0,-0.806421247,-3.380194474,0.427665387,0.744987042,,1.000000000,1.000000000,RG
0018,-0.075269862,-0.021053072,93,93,54,-1.880793608,0.951350809,0,0,0.467698799,-3.880673097,1.827431755,2.30310716,,0.209273787,0.209273787,LO
0019,-0.67448975,-0.698429298,61,61,51,-0.772193214,0.787752761,0,0,0.227544977,-3.825500794,0.901015772,1.294892152,,0.518531420,0.518531420,RG
0020,-0.279319034,-0.285955315,247,247,251,-0.227544977,0.529865231,0,0,-0.305480788,-2.398779958,0.780411427,1.045344043,,1.000000000,1.000000000,ES
0021,0.227544977,0.230574569,2969,2969,2657,-0.806421247,0.821181863,1,0,0.075269862,-3.057182477,1.869908703,2.280499635,,0.470037990,0.470037990,PS
0022,-0.331853346,-0.347862908,66,66,53,-1.080319341,0.706902429,0,0,-0.227544977,-3.159463061,1.081951511,1.435402725,,0.457609053,0.457609053,RG
0023,0.467698799,0.878987412,30,30,32,1.880793608,0.947391450,0,1,0.994457883,-3.321867,2.362481699,2.836177423,,1.000000000,1.000000000,FA
0024,0.467698799,0.448298396,78,78,86,0.806421247,0.576568962,0,0,0.412463129,-1.838577047,1.620836722,1.909121203,,1.000000000,1.000000000,RG
0025,0.358458793,0.370262759,76,76,89,1.036433389,0.584861148,0,0,0.305480788,-1.980985801,1.52818109,1.820611664,,1.000000000,1.000000000,RG
